Título,Compañía,Ubicación,Descripción
Líder Técnico,TCIT,Santiago,"Una de nuestras misiones en TCIT es descubrir y potenciar a los mejores talentos, por lo que te invitamos a ser parte de nuestro team!Nuestro propósito es transformar digitalmente a distintas organizaciones a través de soluciones de calidad, sostenibles e innovadoras. Trabajamos con metodologías ágiles, utilizamos tecnologías de última generación y somos expertos en desarrollo de software en tecnologías Cloud.Algunos de nuestros desarrollos son un sistema de gestión agrícola, un sistema de remates en línea, un sistema de gestión de las causas para los tribunales judiciales, un sistema para monitoreo de certificaciones para trabajadores mineros, un sistema de liquidaciones de sueldo y otras soluciones de gestión de empresas en ámbitos como transporte de carga y bodegaje, entre muchos otros.Además, trabajamos en países como Canadá en ambiciosos proyectos con nuestros partners tecnológicos.¡Súmate a la revolución digital TCIT!

Liderarás distintos proyectos en forma simultánea para nuestra área de Desarrollo a la Medida Atenderás las solicitudes tanto de los clientes, como de los desarrolladores que conformen tu equipo de trabajo Realizarás reuniones de levantamiento de requerimientos con los clientes y recopilarás toda la información necesaria para la correcta implementación del proyecto Deberás definir y planificar las tareas necesarias para lograr cada objetivo y requisito de cada proyecto Serás el responsable de definir los tiempos y plazos para la implementación del proyecto, reconociendo los recursos humanos y materiales que tiene a tu disposición Realizarás seguimiento continuo de los avances que vayan dándose en el equipo interno Asistirás a reuniones continuas con los clientes para mostrar avances y entregarás actualizaciones del trabajo realizado Garantizarás una correcta comunicación con el cliente, transmitirás de forma sencilla los acontecimientos del proyecto y generarás confianza en el trabajo que se realiza en TCIT Serás el responsable de integrar en la propuesta inicial los incontemplados y nuevas funcionalidades que pueden surgir durante el transcurso del proyecto, re establecer fechas y plazos para cumplir con la implementación del proyecto Estarás encargado de la mantención y mejora continua de sistemas, plataformas y aplicaciones, corregir errores, optimizar funcionamientos según las necesidades de los proyectos asignados Revisión, pruebas y análisis de los desarrollos entregados para garantizar la calidad según los estándares de TCIT De vez en cuando te tocará desarrollar junto a tu equipo, pero la mayoría del tiempo te encargarás de revisar, corregir y organizar Buscamos a alguien que lidere la innovación tecnológica en la empresa, y que maneje y haya aplicado buenas prácticas

Título profesional de Ingeniero Informático o afín Experiencia liderando equipos de desarrollo Contar con experiencia en proyectos desarrollados en la nube Experiencia trabajando con: Node.js, React, Postgresql, o bases de datos relacionales Deberás contar con sólidos conocimientos técnicos y experiencia como desarrollador. Poseer las habilidades comunicacionales pertinentes para hablar con los clientes y CEO, logrando transmitir la información acerca de los acontecimientos del proyecto de manera clara Vivir en santiago de chile (EXCLUYENTE)

Contar con experiencia con otras tecnologías de desarrollo en la nube o web Poseer habilidades de gestión y visión comercial para entrar a dialogar y negociar con el cliente

Nuestro horario promedio hace que puedas salir a las 14:00 los días viernes (sí, a las 14:00!!!!) Nuestras oficinas quedan a pasos del metro Porque sabemos que guatita llena <3 contento, cuando vayas a trabajar a la oficina contamos con almuerzo en una cafetería cercana (¡y esto va por cuenta de TCIT, aparte del bono de almuerzo :O!) Tendrás permisos flexibles Más días de vacaciones Vestimenta casual Estamos afiliados a Caja de Compensación Los Andes, por lo que puedes acceder a sus cientos de beneficios y convenios Estamos afiliados a la ACHS, por lo que también tendrás acceso a capacitaciones, beneficios y convenios Somos Google Partners, lo que significa que puedes certificarte de manera gratuita! Tendrás 1 hora 30 minutos para almorzar! Tenemos estacionamiento para bicicletas ¡Nos encantan los asados y usamos cualquier excusa para juntarnos y compartir! El día de tu cumpleaños puedes salir a las 16:00 para celebrar como se debe ¡Te esperamos!"
Desarrollador Full-Stack (Java Angular),Kibernum,Santiago,"Kibernum es una compañía chilena con 30 años de experiencia, orientada a crear e implementar servicios IT de excelencia, con presencia en Chile y Colombia. La empresa se especializa en la evolución digital, ofreciendo soluciones en diversos sectores como banca, retail, salud, gobierno, seguros, educación y telecomunicaciones. Actualmente, cuenta con más de 1500 colaboradores y se enfoca en co-diseñar soluciones con un alto grado de involucramiento y compromiso con el negocio, destacándose en áreas como IT Staffing, IT Academy y IT Consulting.

Estamos buscando un Desarrollador con ganas de unirse a un equipo dinámico y enfrentar nuevos desafíos. ¡Sigue leyendo y aplica!Responsabilidades Desarrollo de nuevas piezas y funcionalidades. Trabajo colaborativo con el equipo. Seguimiento de las normas y políticas de la empresa. Iniciativa para resolver problemas y aportar soluciones innovadoras.

️ Requisitos Técnicos Lenguajes: Java 17 (Excluyente) Base de Datos: PostgreSQL (Excluyente) Frameworks y Herramientas: Spring Framework 6 (Excluyente) Angular (Excluyente +11) Jenkins (Excluyente) BigQuery (Excluyente) Git (u otro repositorio) (Excluyente) Cloud GCP (Excluyente) Experiencia: Mínima de 03 años desarrollando aplicaciones en Java. Mínima de 02 años utilizando las herramientas y frameworks mencionados. Conocimientos Deseables: Mockito Hibernate JUnit Maven Habilidades Transversales Trabajo en equipo y cooperación. Autocontrol y responsabilidad. Iniciativa y pensamiento analítico.

Duración del Contrato: Inicialmente 2 meses plazo fijo, con posibilidad de extender a indefinido. Detalles del Cargo Ubicación: Providencia, Santiago, Chile (Modalidad Híbrida: Asistencia bajo acuerdo) Beneficios propios de KIB. Modalidad Hibrida"
Arquitecto de Soluciones,BCP,Lima,"ARQUITECTO DE SOLUCIONESQueremos tu talento en BCP, para seguir siendo el banco que todo el tiempo está innovando, es pionero y digital. Juntos tendremos la posibilidad de generar un impacto positivo en nuestro país, teniendo como objetivo que los peruanos logren transformar sus planes en realidad.¿Ya sabes del proyecto IO?IO es el primer neobanco peruano y somos una nueva generación de productos financieros digitales para brindar una experiencia innovadora y diferente a los usuarios de banca tradicional.¿Ya sabes que hacemos los Arquitectos de soluciones en IO?Asesora en la definición y diseña soluciones estratégicas para construir los productos financieros de iO, a través del entendimiento de sus objetivos, procesos, puntos de dolor y aspiraciones, utilizando las mejores prácticas de Arquitectura para que las tecnológicas propuestas estén alineadas a la visión integral y estratégica del negocio.

• Diseñar Arquitecturas de Solución asegurando que sigan los lineamientos definidos, aplicando buenas prácticas y modelos de uso probados con alto nivel de robustez y confiabilidad.• Difundir la Estrategia Tecnológica a la organización a través de los diseños de solución y asesorías brindados.• Analizar el impacto en los componentes de la arquitectura, identificando cuales reusar, modificar y definir detalladamente los componentes nuevos a adquirir e implementar.• Coordinar con otros roles de los equipos de Ingeniería, Calidad, Seguridad, Cloud/Infraestructura y Data, para validar diseños de arquitectura de solución, considerando impactos transversales a la Arquitectura iO.• Garantizar el cumplimiento de los estándares, lineamientos y patrones, documentando y promoviendo su uso en los diseños de arquitectura de la solución.• Relevar y diagramar las capacidades y dominios de servicio, además de entender los procesos involucrados en las iniciativas de negocio, haciendo uso del marco de referencia BIAN.• Establecer costos proyectados de los diseños de arquitectura propuestos, siempre vigilando los aspectos de sostenibilidad y rentabilidad.

• Eres Técnico, Bachiller o Titulado en Ingeniería de Sistemas, Ingeniería Informática, Computación e Informática, Ingeniería de Software, Ingeniería Industrial y Sistemas o carreras afines.• Tienes al menos 4 años de experiencia definiendo y diseñando Arquitecturas de Solución, de preferencia soluciones y aplicaciones de alta transaccionalidad.• Experiencia en el diseño/implementación de tecnologías Cloud nativo, como AWS, GCP o AZURE mínimo 4 años (obligatorio). Sabemos que si conoces de Cloud estás preparado para aprender rápidamente cualquier Cloud, lo que valoramos es el criterio de implementar soluciones nativas en la nube.• Frameworks de arquitectura y modelos de referencia de Dominios de Servicio de la industria financiera (deseable BIAN).• Patrones de Software genéricos de la industria para la definición de soluciones: deseable DDD, Arquitectura Hexagonal, C4 Model.• Si tienes práctica de otros frameworks o patrones de software también lo valoramos, solo tendrás que aprender nuestro Framework para construir soluciones de manera veloz.

¿Qué beneficios disfrutarás?Seguirás sumando experiencia y desarrollo profesional gracias al equipo de grandes líderes, una cultura de colaboración que inspira y oportunidades para innovar.• Utilidades y bono por desempeño.• Horarios flexibles.• Plataforma virtual y planes de aprendizaje para que puedas seguir capacitándote.• Nuestros planes de salud nos permiten protegerte no solo a ti, sino también a tu familia.• Descuentos corporativos y educativos.• Beneficios financieros."
Desarrollador Full-Stack (PHP + Symfony),ProyecTI,Santiago,"En ProyecTI nos dedicamos a realizar proyectos de desarrollo de sofware a medida para diversos clientes de distintas industrias y tamaños, desde startups que recién están iniciando, hasta grandes divisiones del gobierno de Chile. Dentro de la gama de servicios que ofrecemos, es el posicionamiento de nuevos miembros in-house a medida que nuestros clientes lo van requiriendo y/o solicitando.En este caso particular, se trata de Bookforce, uno de nuestros clientes de la industria del entretenimiento, que cuenta con varios años de presencia en el mercado, destacando por su crecimiento sostenido año a año a través de un potente SaaS en pleno desarrollo.

Estamos en búsqueda de un desarrollador Full-Stack para unirse a la célula de desarrollo PHP. Nuestra estrategia de trabajo es dividir productos de la empresa en distintas células para que no sea necesario que una misma célula tenga que estar dando pinceladas a otros productos que estén desarrollados en lenguajes de los cuáles no tengan buen manejo.Trabajarás en estrecha colaboración tanto con el Gerente General de nuestra empresa cliente, como con el director del proyecto en ProyecTI, cosa que cualquier duda que tengas de los desarrollos pueda ser rápidamente resuelta ya sea a nivel comercial y/o técnico.Tus principales funciones serán el desarrollo y despliegue de nuevas funcionalidades y módulos, la integración de templates desarrollados por los integrantes UX/UI de la célula y la resolución de distintos bugs que van apareciendo con el tiempo.

Experiencia en PHP + Symfony: Mínimo de 2 años de experiencia trabajando con el framework Symfony en cualquiera de sus versiones >=2.0 (excluyente y será evaluado) Experiencia general en HTML/CSS/JS + jQuery: Al menos 2 años de experiencia, demostrando poder integrar templates sin problemas Experiencia en GIT: Mínimo de 2 años trabajando con GIT, siendo capaz de realizar merges y resolver conflicts, sin romper el código de tus compañeros Inglés nivel medio: Esperamos que tengas la capacidad de resolver parte de los problemas con los que te encuentres de forma autónoma, esto quiere decir poder consultar stackoverflow sin requerir ayuda y entender las respuestas. Respecto al código, tienes libertad para programar en español o inglés, lo que más te acomode, pero si va a ser en inglés tiene que ser en un inglés adecuado, sin inventar palabras ni cometer errores en cómo se escriben tampoco Por favor si no cumples con alguno de estos 4 pilares, evita postular porque tu postulación será descartada de forma inmediata.No es necesario que cuentes con título profesional. A estas alturas, hemos conocido tanto profesionales de universidades top que no cumplen con lo prometido, como personas que a través de cursos online llegan a ser unas máquinas. Mientras seas un crack de la industria, nos da igual cómo llegaste a serlo.

Tienes experiencia con manejo de servidores Linux (básico) Tienes experiencia con Ionic + Angular Tienes experiencia desarrollando y/o integrando APIs REST Tienes experiencia trabajando con metodologías ágiles como Scrum Tienes experiencia en AWS

Presencialidad híbrida: en un principio el trabajo será 100% presencial (sector Parque Arauco, Las Condes), pero a medida que te lo vayas ganando, puede llegar a ser 100% remoto. No nos interesan las personas que vienen a la oficina a calentar la silla, sino que cumplan los objetivos establecidos en nuestros daily's y weekly's. Te entregamos un notebook de última generación Pago de cursos en Udemy Día libre por cumpleaños y medio día libre por cumpleaños de hij@s Porque no todo es trabajo, instancias de pizzas y bebestibles varios una vez al mes"
Back-end Developer,Smart Bit Developments,Lima,"Estamos en la búsqueda de profesionales para unirse a nuestro equipo en el desarrollo de plataformas de streaming innovadoras, diseñadas para múltiples dispositivos móviles y televisores conectados. Nuestro equipo se caracteriza por su alto nivel técnico y capacidad para actuar con rapidez, con el objetivo de generar un impacto significativo en el mercado latinoamericano. Trabajamos con clientes de alto perfil en Brasil y Estados Unidos, y buscamos talento que comparta nuestra visión de transformación en la industria de medios digitales.

Estamos buscando un Desarrollador Back-End Senior para unirse a nuestro equipo en el desarrollo de plataformas de streaming innovadoras. Trabajamos con tecnología de vanguardia para múltiples dispositivos móviles y televisores conectados, y nuestros clientes están ubicados en Brasil y Estados Unidos. Buscamos un profesional altamente técnico, capaz de actuar con rapidez y con la capacidad de generar un impacto significativo en el mercado latinoamericano.Responsabilidades Clave: Diseñar, desarrollar y mantener servicios back-end escalables y de alto rendimiento para nuestras plataformas de streaming. Colaborar estrechamente con los equipos de front-end, DevOps y Data Science para integrar servicios y garantizar la funcionalidad integral de las plataformas. Optimizar y asegurar la infraestructura del servidor para manejar grandes volúmenes de datos y tráfico en tiempo real. Implementar y mantener API robustas y seguras para la integración de terceros y servicios internos.

Experiencia sólida y comprobada como Desarrollador Back-End, preferentemente en proyectos relacionados con plataformas de streaming o medios digitales. Dominio de lenguajes como Node.js, Python, Java, o similares, y experiencia con bases de datos SQL y NoSQL. Conocimiento de arquitecturas de microservicios, y experiencia en el uso de contenedores y orquestadores como Docker y Kubernetes. Familiaridad con servicios en la nube (AWS, Azure, Google Cloud) y prácticas de DevOps. Capacidad para resolver problemas complejos de manera eficiente y trabajar en un entorno de alta demanda y rápida evolución."
Desarrollador Java / React,Kibernum,Santiago,"Kibernum es una compañía chilena con 30 años de experiencia, orientada a crear e implementar servicios IT de excelencia, con presencia en Chile, Peru y Colombia. La empresa se especializa en la evolución digital, ofreciendo soluciones en diversos sectores como banca, retail, salud, gobierno, seguros, educación y telecomunicaciones. Actualmente, cuenta con más de 1500 colaboradores y se enfoca en co-diseñar soluciones con un alto grado de involucramiento y compromiso con el negocio, destacándose en áreas como IT Staffing, IT Academy y IT Consulting.

· Diseñar e implementar sistemas robustos para el almacenamiento y procesamiento de transacciones, incluyendo cálculos financieros específicos (posiciones, P&L, etc.) y automatización de tareas mediante cron jobs.· Crear y desarrollar interfaces gráficas web intuitivas para la visualización de transacciones y los datos calculados.· Proponer y ejecutar mejoras en los procesos y sistemas existentes para optimizar el rendimiento.· Desarrollar y gestionar aplicaciones dentro del ecosistema de trading electrónico en el mercado de capitales, abarcando desde el despliegue hasta la administración a través de interfaces gráficas.

Desarrollar y mantener aplicaciones utilizando JAVA. Diseñar y optimizar bases de datos en MySQL y MongoDB. Crear interfaces de usuario interactivas y eficientes con React. Experiencia previa en el sector financiero o de trading será considerada un plus."
Dev Python SSR/Sr Entusiastas de Generativeai y Llms,Moon,Remote,"Moon, emergente en Chile, aspira a transformar el panorama de las ventas corporativas y de medianas empresas, aprovechando todo el potencial de la inteligencia artificial y Machine Learning. Nuestro enfoque se centra en utilizar estas tecnologías para mejorar y potenciar las ventas de las empresas con las que colaboramos. Fundadores: Matías González, emprendedor serial tecnológico, tales cómo Uclases, Brincus y otras. Juan Carlos Altmann, ex McKinsey Partner, Ex CEO Regional South America División and Chairman of the Board TAM Mercosur Airlines y Director de Empresas, tales cómo Colbún, Banco Bice, Grupo Banco Industrial Argentina, entre otras. Andrés Soria, Experto en inteligencia artificial y arquitectura. McKinsey y JPMorgan Alumni donde participó por más de 3 años de importantes proyectos de Tecnología en USA, Argentina México y el Caribe.

Desarrollo de Aplicaciones de IA con Python: Programar y refinar aplicaciones de inteligencia artificial que mejoren los procesos de ventas, utilizando técnicas avanzadas de aprendizaje automático y procesamiento de lenguaje natural. Implementar modelos predictivos y algoritmos que optimicen la interacción con clientes y la personalización del servicio, basándose en análisis de datos complejos. Integración y Mantenimiento de Sistemas de IA: Desarrollar la infraestructura backend robusta para soportar aplicaciones de IA, empleando frameworks de Python como Flask, Django o FastAPI. Asegurar la integración fluida de las aplicaciones de IA con otros sistemas y plataformas, facilitando un ecosistema tecnológico coherente y funcional. Desarrollo y Mejora de Features de Producto: Identificar oportunidades para nuevas características o mejoras en los productos existentes, colaborando estrechamente con equipos de producto y marketing. Diseñar y desplegar mejoras iterativas y escalables, asegurando que las soluciones no solo atiendan las necesidades actuales sino que también se anticipen a futuros requerimientos del mercado. Optimización y Escalabilidad: Administrar y optimizar la infraestructura en la nube, aplicando prácticas de Infraestructura como Código (IaaC) para mejorar la disponibilidad y el rendimiento de las aplicaciones. Monitorear continuamente el rendimiento de los sistemas de IA y realizar ajustes proactivos para mantener y mejorar la eficacia operativa. Colaboración en Proyectos de Innovación: Participar activamente en equipos multidisciplinarios para desarrollar soluciones innovadoras que posicionen a la empresa como líder en el sector. Fomentar una cultura de innovación, compartiendo conocimientos y mejores prácticas con colegas para impulsar el desarrollo profesional y tecnológico.

Pasión por la IA Al menos 4 años de experiencia trabajando con Python Conocimientos en librerías como Pandas, NumPy, PyTorch Experiencia con frameworks como Flask/Django/FastAPIConocimientos en Cloud Computing e IaaC (Infraestructura como Código) Ideal si tienes experiencia con LLMs Open Source

Oportunidad de sumergirte en proyectos innovadores y desafiantes Entorno colaborativo donde tus aportes tendrán un impacto real Trabajo en los límites de lo posible en IA"
WordPress Developer,FULLTIMEFORCE,Remote,"FULLTIMEFORCE is a Peruvian company dedicated to software development and providing highly qualified work teams. Our culture is based on camaraderie between teams, which are oriented towards success and are made up of collaborators who are highly motivated to grow professionally. Likewise, we seek to promote a pleasant work environment with horizontal and transparent internal communication at all times.Apply and be part of the Fulltimeforce experience!

Trabajarás con uno de nuestros clientes con sede en Londres. Es una reconocida agencia de SEO y diseño de sitos web. Ellos están buscando apoyo por proyectos. Crearás plugins y temas desde 0 con Wordpress. Programarás acorde a las necesidades y requerimientos del cliente. Contribuirás a la resolución de problemas aportando valor dentro del proyecto. Desarrollarás código limpio, bien probado y mantenible que impulse soluciones complejas para clientes.

Al menos 2 años de experiencia profesional con Wordpress Conocimiento avanzado en Wordpress (indispensable) Experiencia creando plugins y temas desde 0 (indispensable) Experiencia creando custom post types (indispensable) Inglés intermedio a nivel oral y escrito (deseable)

Genial ambiente laboral, capacitaciones constantes, oportunidad de aprendizaje, modalidad 100% remota, flexibilidad horaria y salarios atractivos"
Desarrollador Full-Stack,Agilesoft SpA,Remote,"Agilesoft es una start-up formada por gente joven, enfocada en el desarrollo de software. Somos amantes de la tecnología, con un ambiente laboral entretenido y grato. Más que cumplir horarios, trabajamos bajo metas, que nos impulsan a resultados innovadores y de calidad.Descripción:Trabajamos principalmente desarrollando plataformas web y aplicaciones móviles para grandes empresas. A la vez, tenemos la necesidad de desafiarnos constantemente a mejorar nuestras buenas prácticas y expertise en las diferentes tecnologías emergentes. Somos agnósticos a las marcas o productos, amamos la velocidad de transformación y la posibilidad de aprender cada día algo nuevo.

Desarrollar y mantener aplicaciones web y móviles, asegurando una experiencia de usuario fluida y eficiente. Diseñar e implementar arquitecturas serverless utilizando AWS Lambda y API Gateway. Desarrollar y consumir servicios web utilizando GraphQL y REST API. Gestionar bases de datos no relacionales con MongoDB y relacionales con Oracle. Implementar y mantener aplicaciones frontend utilizando React, Next.js y TypeScript. Desarrollar y mantener servicios backend utilizando Node.js y Nest.js. Colaborar en la integración continua y gestión de versiones con GIT. Trabajar con datos en formatos JSON.

Experiencia comprobable de al menos 4 años en desarrollo de software. Experiencia en Arquitectura microservicios Experiencia demostrable en desarrollo Full-Stack. Conocimiento en AWS Lambda, API Gateway, GraphQL, REST API. Dominio de bases de datos MongoDB y Oracle. Experiencia en React, Next.js, TypeScript. Conocimientos en Node.js, Nest.js. Familiaridad con GIT y JSON. Capacidad para trabajar en un entorno ágil y colaborativo. Habilidad para resolver problemas de manera proactiva y eficaz.

Deseable experiencia en manejo de colas de mensajes como RabbitMQ o SQS.

- Ambiente grato laboral, flexible, entretenido y dinámico.- Contrato indefinido- Modalidad 100% remoto- Horario de trabajo de Lunes a Jueves 09:00 hrs a 18:00 hrs y Viernes 09:00 hrs a 17:00 hrs.- Caja de compensación los andes- Seguro complementario de Salud y Dental- Computador de trabajo"
Desarrollador Back-end,Genesys Tecncologias de Inform. SpA,Santiago,"Somos una empresa con 30 años en el mercado, contamos con servicios de fábrica de desarrollo de software y prestación de servicios de profesionales a través de Outsourcing, nuestra matriz está en Concepción y contamos con una operación en Santiago.Nos encontramos en búsqueda de un Desarrollador Back End para que se una a nuestro equipo.

Realizar el análisis de requerimientos, diseño lógico e implementación de componentes de software para cumplir con los requerimientos del negocio. Generar documentación de proyectos alineada con las políticas y procedimientos.Implementar soluciones según los lineamientos de arquitectura, asegurando eficiencia, seguridad y calidad.Trabajar en equipo para apoyar el logro de los objetivos de la compañía.

Analista Programador, Ingeniero en Ejecución en Informática, titulado. Experiencia en Java 1.8 OpenJDK.Desarrollo de bases de datos Oracle y SQL (PL-SQL Oracle). Experiencia en entorno de programación Eclipse. Implementación de clientes de integración REST/SOAP.Experiencia con servidores de aplicaciones como JBOSS EAPo Oracle WEBLOGIC. Manejo de proyectos Java mediante Maven. Conocimiento en sistemas operativos Linux para manejo de archivos.Implementación de seguridad en servicios de integración mediante JWT o Auth2. Gestión de versionamiento de componentes con GIT, incluyendo conocimientos y experiencia con el modelo Gitflow.

Experiencia en JBOSS FUSE. Conocimiento del Lenguaje Camel.Experiencia en integración continua y despliegue continuo. Nociones de arquitectura REST, convenciones de nombres, verbos, estados HTTP, etc. Conocimientos en diseño de API y herramientas para documentación de API (Swagger). Experiencia con Postman / SoapUI y UML.Experiencia con plataformas de análisis de código estático.

Modalidad: híbrida. Contrato: proyecto."
